,,Deep,Shallow,Large Mag.,Intermediate,Ours
AlexNet,C10,  15.78%,  60.56%,  34.51%,  60.69%,  12.48%
AlexNet,C100,  15.78%,  84.22%,  53.17%,  60.69%,  12.48%
AlexNet,S10,  15.78%,  60.56%,  71.82%,  60.69%,   7.12%
AlexNet,UTK,  15.78%,  42.81%,  34.51%,  27.95%,   8.01%
ResNet18,C10,  23.97%,  62.54%,  61.48%,  72.80%,   3.80%
ResNet18,C100,  23.97%,  86.52%,  61.48%,  72.80%,   5.33%
ResNet18,S10,  23.97%,  76.03%,  76.61%,  72.80%,   3.80%
ResNet18,UTK,  23.97%,  38.55%,  44.93%,  11.02%,   4.58%
ResNet34,C10,  18.01%,  56.05%,  40.84%,   0.60%,   1.83%
ResNet34,C100,  55.49%,  87.03%,  58.31%,  83.89%,   2.56%
ResNet34,S10,  18.01%,  75.50%,  74.82%,  83.89%,   1.73%
ResNet34,UTK,  37.47%,  38.02%,  40.84%,  36.36%,   1.92%
VGG16_BN,C10,   9.03%,  66.90%,  50.56%,  33.84%,   0.34%
VGG16_BN,C100,  21.07%,  90.97%,  66.47%,   0.10%,   0.47%
VGG16_BN,S10,   6.02%,  90.97%,  66.47%,  33.84%,   0.40%
VGG16_BN,UTK,   3.01%,  60.88%,  50.56%,   0.10%,   0.60%
VGG19_BN,C10,  28.42%,  62.11%,  40.90%,  69.26%,   0.27%
VGG19_BN,C100,  28.42%,  97.63%,  54.49%,  19.05%,   0.37%
VGG19_BN,S10,   7.11%,  97.63%,  54.49%,  49.82%,   0.35%
VGG19_BN,UTK,  28.42%,  90.53%,  27.02%,  69.26%,   0.37%
